[00:00:00.000] (1dd031c40) TRACE  In load_stdin
[00:00:00.000] (1dd031c40) DEBUG  Did not receive input from stdin
[00:00:00.004] (1dd031c40) TRACE  registering event source with poller: token=Token(1), interests=READABLE
[00:00:00.006] (1dd031c40) INFO   A url was has been provided
[00:00:00.006] (1dd031c40) DEBUG  url: https://news.ycombinator.com
[00:00:00.006] (1dd031c40) TRACE  In fetch_document
[00:00:00.006] (1dd031c40) DEBUG  url: https://news.ycombinator.com
[00:00:00.027] (1dd031c40) DEBUG  starting new connection: https://news.ycombinator.com/
[00:00:00.057] (1dd031c40) TRACE  registering event source with poller: token=Token(5160059136), interests=READABLE | WRITABLE
[00:00:00.826] (1dd031c40) INFO   Successfully fetched document
[00:00:01.010] (170f5f000) TRACE  deregistering event source from poller
